read_code	icd10_code
A541z	A600
A542.	B002
A543.	B004D G051A
A544.	B005
A5440	B023
A5441	B005D H031A
A5442	B005D H191A
A5443	B005D H191A
A5444	B005D H220A
A5445	B005D H588A
A544z	B005
A545.	B007
A546.	B008D L998A
A548.	B001
A54x.	B008
A54x0	B008
A54x1	B003D G020A
A54x2	B001D H621A
A54x3	B001
A54x4	B008D J171A
A54xz	B008
A54y.	B008
A54z.	B009
A55..	B059
A550.	B050D G051A
A551.	B052D J171A
A552.	B053D H671A
A553.	B051D
A554.	B054
A55x.	B058
A55x0	B058D H192A
A55xz	B058
A55y.	B058
A55z.	B059
A56..	B069
A560.	B060D
A5600	B060D
A5601	B060D G051A
A5602	B060D H948A
A560z	B060D
A56x.	B068
A56x0	B068D M014A
A56xz	B068
A56y.	B068
A56z.	B069
A57..	B08
A570.	B083
A57y.	B088
A57y0	B082
A57y1	B082
A57y2	B088
A57y3	B088
A57y4	B088
A57y5	B04X
A57yz	B088
A57z.	B088
A5y..	B088
A5z..	B09X
A6...	A92-A99X
A60..	A950-A959
A600.	A950
A601.	A951
A60z.	A959
A61..	A971
A610.	A970
A611.	A971
A612.	A972
A62..	A830-A839
A620.	A830
A621.	A831
A622.	A832
A623.	A833
A624.	A834
A625.	A835
A626.	A836
A62y.	A838
A62z.	A839
A63..	A840-A849
A630.	A840
A631.	A848
A632.	A841
A63y.	A848
A63y0	A848
A63y1	A848
A63yz	A848
A63z.	A849
A64..	A852
A65..	A96-A99X
A650.	A980
A651.	A981
A652.	A982
A653.	A988
A654.	A928
A6540	A979
A65y.	A988
A65y0	A938
A65yz	A988
A65z.	A94X
A66..	A930-A938
A660.	A931
A6600	A938
A6601	A931
A660z	A931
A661.	A94X
A6610	A938
A6611	A932
A6612	A932
A6613	A938
A6614	A938
A661z	A938
A662.	A922
A663.	A928
A6630	A928
A6631	A928
A6632	A920
A6633	A928
A6634	A928
A6635	A928
A6636	A921
A6637	A930
A6638	A928
A6639	A924
A663A	B331
A663B	A928
A663C	A923
A663D	A928
A663E	A923
A663z	A929
A66y.	A928
A66y0	A928
A66y1	A938
A66yz	A938
A66z.	A94X
A6y..	A938
A6z..	A94X
A70..	B199
A700.	B150
A701.	B159
A702.	B162
A7020	B160
A703.	B169
A7030	B161
A704.	B178
A7040	B182
A704z	B178
A705.	B178
A7050	B182
A7051	B170
A7052	B172
A7054	B178
A705z	B178
A706.	B190
A707.	B189
A7070	B180
A7071	B181
A7072	B182
A7073	B181
A707X	B189
